סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
472,אבו גוש,ירושלים,ירושלים,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי יהודה,"7,332",84,64,"7,248",
473,אבו סנאן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור נהרייה,"13,694",28,11,"13,667",
1342,אבו קורינאת (יישוב),הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,נווה מדבר,אזור באר שבע,"1,569",-,-,"1,569",
1375,אבו תלול,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,נווה מדבר,אזור באר שבע,551,-,-,551,
652,אבטין,חיפה,חיפה,יישובים לא יהודיים 4999-2000 תושבים,זבולון,אזור חיפה,"2,759",1,1,"2,758",
1275,אבטליון,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,436,436,418,-,
679,אביאל,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,אלונה,אזור חדרה,812,812,799,-,
1115,אביבים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,489,489,488,-,
819,אביגדור,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,793,793,788,-,
175,אביחיל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,383","1,379","1,355",4,
2052,אביטל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,519,519,519,1,
1070,אביעזר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,883,883,875,-,
1220,אבירים,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור אילון,216,215,202,-,
182,אבן יהודה,המרכז,השרון,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,מערב השרון,"13,704","13,701","13,472",2,
1081,אבן מנחם,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,286,286,283,-,
783,אבן ספיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,728,726,704,2,
400,אבן שמואל,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,שפיר,אזור לכיש,"1,941","1,941","1,938",-,
4011,אבני איתן,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,700,700,700,-,
3793,אבני חפץ,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,836","1,836","1,828",-,
3786,אבנת,יהודה והשומרון,,יישובים קהילתיים,מגילות ים המלח,,201,201,201,-,
1311,אבשלום,הדרום,באר שבע,יישובים קהילתיים,אשכול,אזור בשור,261,261,185,-,
3759,אדורה,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,440,440,434,-,
113,אדירים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,277,277,276,-,
1068,אדמית,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,199,200,177,-,
1123,אדרת,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,919,919,919,-,
446,אודים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,367","1,367","1,337",-,
4010,אודם,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,131,131,129,-,
1046,אוהד,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,408,392,390,16,
2710,אום אל-פחם,חיפה,חדרה,יישובים לא יהודיים 99999-50000 תושבים,עירייה,הר אלכסנדר,"54,240",48,23,"54,191",
2024,אום אל-קוטוף,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,"1,071",-,-,"1,071",
1358,אום בטין,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,אל קסום,אזור באר שבע,"3,443",12,12,"3,431",
1108,אומן,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,355,356,329,-,
680,אומץ,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,795,794,786,1,
31,אופקים,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור בשור,"27,771","27,593","25,822",177,
1294,אור הגנוז,הצפון,צפת,מושבים שיתופיים,מרום הגליל,גליל עליון מזרחי,539,539,539,-,
67,אור הנר,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,733,734,707,-,
2400,אור יהודה,תל אביב,,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רמת גן,"36,706","36,649","35,926",57,
