סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
175,אביחיל,"1,402",682,720
182,אבן יהודה,"12,973","6,345","6,627"
400,אבן שמואל,"1,455",562,894
679,אביאל,781,395,386
783,אבן ספיר,722,392,329
819,אביגדור,762,374,388
"1,070",אביעזר,399,403,801
"1,081",אבן מנחם,147,129,276
"1,115",אביבים,249,248,497
"1,220",אבירים,92,91,183
"1,275",אבטליון,185,196,381
"2,052",אביטל,259,232,491
"3,786",אבנת,110,57,54
"3,793",אבני חפץ,"1,658",826,831
"4,011",אבני איתן,601,299,301
472,אבו גוש,"6,795","3,415","3,380"
473,אבו סנאן,"13,151","6,676","6,475"
652,אבטין,"2,672","1,352","1,321"
"1,342",אבו קורינאת (יישוב),"1,150",581,568
31,אופקים,"25,295","12,410","12,885"
67,אור הנר,687,356,331
113,אדירים,259,137,121
446,אודים,"1,281",644,637
680,אומץ,757,383,375
780,אורה,"1,271",640,632
"1,020",אור עקיבא,"16,756","8,151","8,604"
"1,046",אוהד,199,193,391
"1,068",אדמית,70,65,135
"1,108",אומן,164,160,325
"1,123",אדרת,424,437,861
"1,294",אור הגנוז,227,213,440
"1,311",אבשלום,121,122,243
"2,012",אורות,251,251,502
"2,400",אור יהודה,"17,800","18,115","35,915"
"3,759",אדורה,367,196,171
"4,010",אודם,109,55,54
"1,358",אום בטין,"2,929","1,480","1,449"
"2,024",אום אל-קוטוף,"1,034",537,497
"2,710",אום אל-פחם,"51,367","26,063","25,304"
49,אילנייה,488,231,256
77,איילת השחר,"1,498",768,730
278,אושה,454,224,229
294,אילון,942,468,474
338,איבים,256,123,133
403,אורים,482,234,248
565,אזור,"11,979","5,942","6,037"
716,אייל,474,253,221
785,אחיהוד,802,390,412
797,אחיעזר,"1,760",854,906
804,אחיסמך,"1,336",695,641
821,אחוזם,519,286,233
850,אחיטוב,"1,045",549,496
882,אורנים,176,27,150
"1,126",אילות,150,174,324
"1,157",אחווה,96,156,252
"1,330",אחוזת ברק,"1,052","1,046","2,098"
"2,600",אילת,"23,630","48,946","25,315"
"3,760",אורנית,"8,086","4,098","3,989"
"4,013",אורטל,304,158,146
37,איתן,418,225,192
41,אליכין,"3,407","1,697","1,711"
285,אלונים,476,239,237
330,אלומות,284,136,148
429,אלוני אבא,988,486,502
868,אלוני יצחק,284,149,136
886,איתנים,99,68,31
"1,145",אלומה,255,248,503
"1,182",אלון הגליל,505,470,974
"1,336",אירוס,52,49,102
"1,365",אליאב,111,92,202
"3,579",אלון מורה,"1,773","1,014",759
"3,604",אלון שבות,"3,141","1,645","1,496"
"3,762",איתמר,"1,275",835,439
"4,003",אל -רום,323,159,164
"4,017",אלוני הבשן,359,213,146
478,אכסאל,"13,403","6,919","6,483"
"1,316",אל -עריאן,173,97,76
"1,339",אל -עזי,186,81,104
"1,359",אל סייד,"3,345","1,838","1,507"
23,אמציה,536,280,255
204,אלישיב,723,373,350
603,אלקוש,318,168,149
682,אליקים,843,424,419
730,אליפלט,532,282,250
772,אמונים,942,466,476
841,אלישמע,"1,204",612,592
"1,064",אמירים,354,391,744
"1,125",אלמגור,174,161,335
"1,248",אליפז,62,60,121
"1,253",אמנון,130,146,276
"1,309",אלעד,"22,010","21,617","43,627"
"3,556",אלמוג,179,94,84
"3,560",אלקנה,"3,871","1,855","2,017"
"3,618",אלעזר,"2,532","1,230","1,302"
"3,750",אלפי מנשה,"7,614","3,830","3,784"
"3,754",אספר,535,291,244
"4,002",אלי-עד,328,166,162
"4,012",אניעם,526,263,262
529,אעבלין,"12,479","6,272","6,207"
70,אשדוד,"217,959","106,324","111,635"
71,אשבול,455,224,231
176,אפיקים,"1,480",724,756
188,אשדות יעקב (מאוחד),492,244,249
199,אשדות יעקב (איחוד),895,444,451
313,אפק,539,256,283
701,ארבל,643,352,291
714,ארז,488,249,239
"1,152",אשלים,209,209,417
"1,188",אשחר,411,364,775
"1,256",אשרת,217,254,471
"1,276",אשבל,54,42,96
"1,324",ארסוף,75,85,160
"2,021",אשל הנשיא,127,111,238
"3,570",אריאל,"18,391","9,090","9,301"
"3,598",ארגמן,128,71,57
"3,650",אפרת,"8,131","4,208","3,923"
"3,722",אשכולות,494,248,247
"4,301",אפיק,259,135,124
"7,100",אשקלון,"126,819","61,626","65,193"
21,באר אורה,525,264,261
155,באר טוביה,"1,008",487,520
234,ביצרון,"1,206",596,610
399,בארי,971,476,495
450,בארות יצחק,405,197,208
559,בוסתן הגליל,887,448,439
697,בארותיים,"1,100",566,534
698,בורגתה,"1,134",571,562
740,אשתאול,"1,160",574,586
762,בטחה,715,360,356
"1,278",באר מילכה,75,59,134
"1,376",באר גנים,85,101,186
"2,043",בחן,484,413,896
"2,530",באר יעקב,"8,648","17,609","8,961"
"9,000",באר שבע,"201,086","97,845","103,242"
482,בועיינה-נוג'ידאת,"8,896","4,624","4,272"
998,ביר אל-מכסור,"8,489","4,304","4,186"
"1,348",ביר הדאג',"4,529","2,243","2,286"
"4,001",בוקעאתא,"6,238","3,180","3,058"
"6,000",באקה אל-גרביה,"27,521","13,933","13,588"
95,בית אלפא,969,480,489
143,בית זרע,553,269,283
242,בית השיטה,"1,201",595,605
317,בית אורן,422,218,204
322,בית הלל,749,372,377
353,בית זיד,67,41,27
368,בירייה,812,397,415
373,בית הלוי,788,387,400
466,בית דגן,"7,078","3,591","3,487"
562,בית אלעזרי,"1,441",740,701
571,בית גמליאל,951,471,480
572,בית העמק,489,230,260
619,בית גוברין,414,209,204
710,בית זית,"1,610",774,836
723,בית הגדי,711,377,334
"1,076",בית ברל,31,78,109
"3,574",בית אל,"5,991","3,126","2,864"
"3,645",בית הערבה,134,65,69
"3,652",בית אריה,"4,516","2,265","2,251"
480,בית ג'ן,"11,253","5,620","5,632"
16,בית ניר,557,279,278
159,בית חנן,568,273,295
200,בית ינאי,433,220,213
202,בית עובד,304,159,145
212,בית צבי,189,161,28
265,בית יוסף,428,227,201
288,בית יהושע,"1,057",510,547
301,בית עוזיאל,574,290,284
326,בית יצחק-שער חפר,"2,116","1,004","1,112"
430,בית לחם הגלילית,781,396,385
604,בית עריף,"1,126",571,556
672,בית נקופה,597,306,291
751,בית מאיר,784,402,382
756,בית עזרא,"1,103",569,533
784,בית נחמיה,890,433,458
800,בית חנניה,877,448,429
877,בית חירות,877,435,442
"1,050",בית חשמונאי,"1,076","1,082","2,158"
"2,033",בית חלקיה,498,352,849
"3,575",בית חורון,"1,218",635,583
94,בלפוריה,421,210,210
248,בית שערים,754,363,391
252,ביתן אהרן,371,134,237
365,בית קשת,562,275,287
386,בני דרור,"1,236",545,691
592,בני דרום,629,307,322
598,בית קמה,"1,353",687,666
712,בן עמי,735,374,361
747,בית שקמה,799,412,387
760,בן זכאי,"1,080",561,519
848,בית רבן,920,194,726
"1,084",בן שמן (כפר נוער),324,285,609
"1,162",בית רימון,326,263,589
"1,368",בני דקלים,252,229,481
"2,013",בן שמן (מושב),408,416,824
"2,610",בית שמש,"49,146","98,084","48,938"
"3,780",ביתר עילית,"46,874","23,484","23,389"
"4,015",בני יהודה,"1,047",510,537
"6,100",בני ברק,"178,288","90,731","87,557"
"9,200",בית שאן,"17,273","8,710","8,563"
389,בצרה,"1,121",579,542
418,בני ציון,"1,377",685,692
428,ברור חיל,875,437,438
448,בני עטרות,979,487,492
588,בני ראם,"1,357",711,646
589,בצת,252,114,138
685,בניה,782,391,392
823,בר גיורא,623,314,309
864,בקוע,635,320,315
"1,066","בני עי""ש","3,370","3,559","6,929"
"1,191",בר יוחאי,422,442,864
"1,363",בני נצרים,240,245,485
"2,060",ברוש,199,209,408
"3,612",בקעות,171,86,85
"3,710",ברכה,"2,195","1,152","1,043"
"3,744",ברוכין,675,331,344
"9,800",בנימינה-גבעת עדה*,"14,517","7,182","7,335"
483,בענה,"7,751","3,853","3,898"
944,בסמת טבעון,"7,321","3,648","3,674"
"1,326","בסמ""ה","8,657","4,468","4,189"
33,בת שלמה,568,287,281
86,גבע,634,296,338
141,ברק,419,199,219
352,גבולות,289,151,138
379,גאולים,902,437,464
424,גבים,464,238,226
617,ברקאי,508,255,252
667,ברעם,575,297,278
683,גבע כרמל,"1,102",544,557
746,ברכיה,"1,181",630,552
853,גאליה,990,509,481
872,גאולי תימן,364,193,171
"1,319",בת חפר,"2,758","2,693","5,451"
"1,323",בת הדר,349,339,689
"1,361",בת חן,200,214,415
"2,038",ברקת,889,937,"1,825"
"3,654",ברקן,"1,627",829,798
"3,763",גבע בנימין,"5,065","2,557","2,508"
"3,794",בת עין,"1,196",617,579
"6,200",בת ים,"128,498","61,160","67,339"
147,גבעת ברנר,"2,618","1,298","1,320"
173,גבעת חיים (מאוחד),957,473,483
207,"גבעת ח""ן",373,190,183
360,"גבעת ניל""י",728,365,363
566,גבעת שמש,74,56,18
681,גבעת שמואל,"24,659","12,316","12,343"
703,גבעת עוז,482,247,235
787,גבעת יערים,"1,372",683,689
802,"גבעת כ""ח",836,430,406
870,גבעת השלושה,773,386,387
919,גבעת ישעיהו,771,385,386
"1,077",גבעת שפירא,203,240,443
"1,288",גבעת אלה,919,925,"1,845"
"1,293",גבעת אבני,"1,058","1,038","2,096"
"1,344",גבעות בר,359,347,706
"2,014",גבעולים,162,167,329
"2,018",גבעת חיים (איחוד),509,518,"1,028"
"3,644",גבעון החדשה,"1,161",602,559
"3,730",גבעת זאב,"15,094","7,583","7,511"
"4,021",גבעת יואב,636,311,325
35,גדות,397,196,201
133,גבת,826,386,440
145,גדיש,388,192,197
196,גיבתון,302,152,151
342,גברעם,389,215,174
370,גזר,276,131,145
442,גדעונה,380,192,189
457,גזית,640,310,329
706,גיאה,919,457,462
736,גילת,"1,272",643,629
755,גורן,448,240,209
793,גבעתי,941,476,465
852,גונן,349,168,181
"1,043",גיזו,101,91,192
"1,204",גילון,554,549,"1,103"
"1,219",גורנות הגליל,81,77,158
"2,550",גדרה,"13,336","25,835","12,499"
"6,300",גבעתיים,"56,849","26,784","30,065"
485,ג'ולס,"6,036","3,068","2,968"
"1,292",ג'דיידה-מכר,"19,736","9,903","9,832"
72,גן שמואל,863,412,450
92,גיניגר,642,333,310
144,גן שלמה,507,238,269
166,גן יבנה,"21,762","10,919","10,843"
