שם יישוב,סמל היישוב,סך הכל,רכב פרטי,משאית סך הכל,משאית עד 4.0 טון עד 2008 משאית עד 3.5 טון החל ב- 2009,משאית מ - 4.1 עד 15.9 טון עד 2008 משאית מ - 3.6 עד 12.0 טון החל ב- 2009,משאית + 16.0 טון עד 2008 משאית + 12.1 טון החל ב- 2009,אוטובוס,מונית,אופנוע,רכב מיוחד,אוטובוס זעיר קיים מ - 1993
אביחיל,175,652,566,52,41,11,-,-,1,27,5,1
אבן יהודה,182,6583,5714,534,400,97,37,8,13,283,4,27
אבן שמואל,400,437,396,36,24,6,6,-,1,4,-,-
אבו גוש,472,2200,1880,221,184,25,12,4,12,66,-,17
אבו סנאן,473,4985,4137,697,520,92,85,-,34,104,3,10
אבטין,652,941,746,164,137,11,16,3,12,16,-,-
אביאל,679,391,286,70,45,20,5,-,-,29,1,5
אבן ספיר,783,300,254,34,24,8,2,1,3,7,-,1
אביגדור,819,405,316,73,39,22,12,-,2,13,-,1
אביעזר,1070,299,270,27,25,2,-,-,-,2,-,-
אבן מנחם,1081,186,153,25,14,3,8,-,-,8,-,-
אביבים,1115,271,208,52,14,5,33,-,1,8,-,2
אבירים,1220,126,96,23,13,2,8,-,-,6,1,-
אבטליון,1275,170,150,14,12,2,-,-,-,6,-,-
אבו קורינאת (יישוב),1342,90,78,7,7,-,-,-,-,2,-,3
אבו תלול,1375,20,16,4,4,-,-,-,-,-,-,-
אביטל,2052,268,199,64,32,12,20,-,-,4,-,1
אבנת,3786,38,35,2,2,-,-,-,-,1,-,-
אבני חפץ,3793,488,419,54,46,7,1,-,1,14,-,-
אבני איתן,4011,282,213,57,49,8,-,1,-,10,1,-
אופקים,31,6974,6108,560,391,114,55,83,35,132,3,53
אור הנר,67,306,271,23,17,6,-,-,-,12,-,-
אדירים,113,134,89,34,13,9,12,-,-,9,-,2
אודים,446,624,501,77,64,10,3,-,3,43,-,-
אומץ,680,346,285,49,40,7,2,-,1,10,1,-
אורה,780,523,413,75,49,26,-,1,1,32,-,1
אור עקיבא,1020,6490,5712,563,391,130,42,15,35,140,4,21
אוהד,1046,170,144,24,13,5,6,-,-,2,-,-
אדמית,1068,172,145,18,16,2,-,-,3,6,-,-
אומן,1108,184,156,16,11,2,3,-,2,9,-,1
אדרת,1123,298,254,35,22,7,6,1,2,3,-,3
אור הגנוז,1294,101,88,9,9,-,-,-,-,4,-,-
אבשלום,1311,105,87,18,17,1,-,-,-,-,-,-
אום בטין,1358,420,316,93,88,4,1,-,-,1,-,10
אורות,2012,254,208,38,33,4,1,-,-,8,-,-
אום אל-קוטוף,2024,427,360,53,40,6,7,-,1,3,-,10
אור יהודה,2400,15017,11262,1441,909,300,232,807,362,750,18,377
אום אל-פחם,2710,18531,14911,2794,2167,417,210,39,36,618,8,125
אדורה,3759,169,134,33,15,5,13,1,-,1,-,-
אודם,4010,98,71,19,17,2,-,-,-,8,-,-
אילנייה,49,282,224,47,37,9,1,1,-,10,-,-
איילת השחר,77,404,339,53,46,7,-,-,-,12,-,-
אושה,278,164,130,23,14,8,1,-,-,11,-,-
אילון,294,445,389,44,38,6,-,-,-,12,-,-
איבים,338,9,8,1,1,-,-,-,-,-,-,-
אורים,403,125,114,9,2,7,-,-,1,-,1,-
אזור,565,6353,4849,802,511,188,103,35,73,482,95,17
אייל,716,222,201,18,17,1,-,-,-,3,-,-
אחיהוד,785,385,304,70,37,16,17,-,5,5,-,1
אחיעזר,797,654,564,53,40,13,-,-,-,35,-,2
אחיסמך,804,819,546,266,82,52,132,1,-,5,-,1
אחוזם,821,244,171,61,29,10,22,-,1,10,-,1
אחיטוב,850,533,388,114,85,19,10,-,-,31,-,-
אורנים,882,1,-,1,1,-,-,-,-,-,-,-
אילות,1126,149,87,34,25,4,5,20,-,7,-,1
אחווה,1157,108,100,5,2,1,2,-,-,2,-,1
אחוזת ברק,1330,984,874,65,49,7,9,-,4,41,-,-
אילת,2600,19924,15988,1833,1274,378,181,58,504,1468,27,46
אורנית,3760,4110,3565,317,238,68,11,1,22,201,2,2
אורטל,4013,133,111,20,20,-,-,-,-,2,-,-
איתן,37,177,132,43,29,12,2,-,-,2,-,-
אליכין,41,1585,1340,133,107,20,6,14,4,67,4,23
אלונים,285,246,213,12,10,2,-,-,1,20,-,-
אלומות,330,142,131,9,9,-,-,-,-,2,-,-
אלוני אבא,429,426,379,33,26,7,-,-,-,14,-,-
אכסאל,478,5543,4279,1027,775,156,96,23,21,171,4,18
אלוני יצחק,868,23,19,3,3,-,-,-,-,-,-,1
אלומה,1145,83,74,7,7,-,-,-,-,1,-,1
אלון הגליל,1182,494,438,44,36,7,1,-,-,12,-,-
אל -עריאן,1316,61,56,3,3,-,-,-,1,1,-,-
אירוס,1336,213,180,12,11,1,-,-,1,20,-,-
אל -עזי,1339,25,19,6,6,-,-,-,-,-,-,-
אל סייד,1359,93,67,24,14,3,7,-,-,-,-,2
אליאב,1365,88,77,8,6,2,-,-,-,3,-,-
אלון מורה,3579,433,346,64,53,11,-,-,-,9,2,12
אלון שבות,3604,1223,854,139,113,23,3,149,-,17,1,63
איתמר,3762,299,238,36,29,6,1,1,-,22,-,2
אלי-עד,4002,232,158,58,45,11,2,-,-,14,-,2
אל -רום,4003,169,138,27,27,-,-,-,-,4,-,-
אלוני הבשן,4017,132,112,19,17,1,1,-,-,1,-,-
אמציה,23,150,129,19,16,3,-,-,-,-,1,1
אלישיב,204,330,282,29,26,3,-,4,2,11,1,1
אעבלין,529,4951,3975,838,613,158,67,5,24,82,2,25
אלקוש,603,165,139,23,17,1,5,-,1,2,-,-
אליקים,682,340,276,36,25,10,1,1,4,22,-,1
אליפלט,730,368,260,72,33,13,26,10,4,13,-,9
אמונים,772,515,392,100,60,24,16,-,2,19,-,2
אלישמע,841,676,472,147,79,26,42,-,2,53,1,1
אמירים,1064,323,292,27,25,1,1,-,-,3,-,1
אלמגור,1125,225,157,64,57,6,1,-,1,3,-,-
אליפז,1248,52,42,7,6,1,-,-,-,3,-,-
אמנון,1253,206,168,32,22,4,6,-,-,6,-,-
אלעד,1309,6162,5141,572,495,72,5,10,39,358,3,39
אלמוג,3556,115,104,7,5,1,1,-,-,4,-,-
אלקנה,3560,1489,1370,83,61,17,5,-,3,29,4,-
אלעזר,3618,722,611,84,79,5,-,-,-,26,-,1
אלפי מנשה,3750,3625,3130,294,229,62,3,-,23,172,2,4
אספר,3754,134,113,17,16,-,1,-,-,4,-,-
אניעם,4012,282,229,39,37,2,-,-,-,14,-,-
אפיק,4301,123,97,18,13,5,-,-,-,7,-,1
אשדוד,70,61546,54009,4954,2847,1115,992,160,698,1313,56,356
אשבול,71,210,183,19,14,3,2,-,1,6,1,-
אפיקים,176,343,278,57,23,7,27,-,-,8,-,-
אשדות יעקב (מאוחד),188,209,182,21,17,2,2,-,-,6,-,-
אשדות יעקב (איחוד),199,331,289,30,21,2,7,-,-,8,4,-
אפק,313,236,204,19,15,3,1,-,1,11,1,-
ארבל,701,322,249,53,40,9,4,-,-,20,-,-
ארז,714,212,190,14,10,4,-,-,-,8,-,-
אשתאול,740,562,371,145,116,20,9,2,4,9,28,3
אשלים,1152,227,183,30,20,6,4,-,2,12,-,-
אשחר,1188,277,254,17,15,2,-,-,-,6,-,-
אשרת,1256,521,346,169,19,2,148,-,1,5,-,-
אשבל,1276,8,6,2,2,-,-,-,-,-,-,-
ארסוף,1324,95,77,14,11,2,1,-,-,4,-,-
אשל הנשיא,2021,50,47,-,-,-,-,-,-,3,-,-
אריאל,3570,6339,5512,437,320,101,16,102,46,203,5,34
ארגמן,3598,88,71,13,12,1,-,-,-,4,-,-
אפרת,3650,3177,2939,181,154,26,1,-,-,52,-,5
אשכולות,3722,178,160,8,7,1,-,-,-,10,-,-
אשקלון,7100,48087,41382,4298,2765,814,719,449,448,1276,60,174
באר אורה,21,275,235,24,22,1,1,-,3,13,-,-
באר טוביה,155,709,506,184,96,68,20,-,-,16,-,3
ביצרון,234,616,484,105,82,16,7,-,-,26,-,1
בירייה,368,376,309,43,33,9,1,1,3,20,-,-
בארי,399,221,194,15,13,2,-,-,-,12,-,-
בארות יצחק,450,149,91,44,23,7,14,-,-,14,-,-
בועיינה-נוג'ידאת,482,3210,2656,427,317,47,63,33,5,31,19,39
בוסתן הגליל,559,498,396,71,58,9,4,-,1,30,-,-
בארותיים,697,520,429,67,46,14,7,-,-,24,-,-
בורגתה,698,518,429,71,52,16,3,-,2,16,-,-
בטחה,762,305,267,25,15,4,6,-,3,3,5,2
ביר אל-מכסור,998,3271,2614,546,460,30,56,38,2,23,4,44
באר מילכה,1278,64,33,28,26,2,-,-,-,3,-,-
ביר הדאג',1348,265,147,108,104,3,1,-,-,5,-,5
באר גנים,1376,479,403,59,41,12,6,3,2,11,-,1
בחן,2043,326,292,14,12,1,1,-,-,19,1,-
באר יעקב,2530,8692,7512,611,433,129,49,48,59,380,1,81
בוקעאתא,4001,2554,1857,605,458,94,53,18,9,20,4,41
באקה אל-גרביה,6000,11400,8975,1942,1270,336,336,43,40,297,30,73
באר שבע,9000,72029,61123,7455,4931,1232,1292,841,682,1295,97,536
בית אלפא,95,215,179,24,23,1,-,1,-,11,-,-
בית זרע,143,181,160,15,14,1,-,-,-,6,-,-
בית השיטה,242,566,493,51,39,8,4,-,-,22,-,-
בית אורן,317,166,131,31,26,5,-,-,-,4,-,-
בית הלל,322,373,297,56,48,8,-,-,-,20,-,-
בית זיד,353,28,27,1,1,-,-,-,-,-,-,-
בית הלוי,373,405,328,57,43,13,1,-,-,20,-,-
בית דגן,466,7274,2924,448,347,82,19,3496,54,306,30,16
בית ג'ן,480,4261,3588,591,548,28,15,12,1,22,3,44
בית אלעזרי,562,764,603,113,84,23,6,1,1,45,-,1
בית גמליאל,571,474,392,63,33,21,9,1,1,17,-,-
בית העמק,572,242,201,23,19,4,-,-,2,16,-,-
בית גוברין,619,176,146,13,10,3,-,-,-,17,-,-
בית זית,710,783,683,64,45,15,4,5,2,28,-,1
בית הגדי,723,352,263,87,42,16,29,-,-,1,-,1
בית ברל,1076,27,23,1,-,1,-,-,-,3,-,-
בית אל,3574,1319,1085,193,162,30,1,-,1,36,-,4
בית חורון,3575,446,412,24,16,8,-,-,-,9,-,1
בית הערבה,3645,70,60,6,6,-,-,-,-,4,-,-
בית אריה,3652,2357,1963,221,166,45,10,2,22,142,3,4
בית ניר,16,231,192,28,27,1,-,-,-,11,-,-
בית חנן,159,400,286,82,57,19,6,-,-,32,-,-
בית ינאי,200,245,197,38,29,9,-,-,-,10,-,-
בית עובד,202,201,160,31,26,5,-,-,1,9,-,-
בית צבי,212,17,17,-,-,-,-,-,-,-,-,-
בית יוסף,265,204,169,26,15,2,9,-,-,9,-,-
בית יהושע,288,472,389,55,43,9,3,-,1,26,-,1
בית עוזיאל,301,293,234,49,27,14,8,-,-,10,-,-
בית יצחק-שער חפר,326,1207,979,141,111,28,2,-,2,85,-,-
בית לחם הגלילית,430,413,320,78,58,17,3,-,-,15,-,-
בית קמה,598,390,332,22,19,3,-,8,-,27,1,-
בית עריף,604,490,401,45,33,12,-,12,3,25,-,4
בית נקופה,672,328,252,56,42,11,3,-,2,16,-,2
בית מאיר,751,208,169,37,21,12,4,-,-,2,-,-
בית עזרא,756,557,456,77,41,22,14,6,1,16,1,-
בית נחמיה,784,493,392,73,44,25,4,-,9,19,-,-
בית חנניה,800,444,319,71,36,19,16,-,-,54,-,-
בית חירות,877,384,342,30,25,5,-,-,-,12,-,-
בית חשמונאי,1050,903,799,57,42,10,5,11,5,29,1,1
בית חלקיה,2033,184,155,24,18,6,-,-,-,4,-,1
בלפוריה,94,357,291,47,36,7,4,2,-,12,-,5
בית שערים,248,442,318,113,55,15,43,-,-,11,-,-
ביתן אהרן,252,137,120,14,9,4,1,-,-,3,-,-
בית קשת,365,201,182,17,16,1,-,-,-,1,1,-
בני דרור,386,655,575,53,36,7,10,-,-,25,2,-
בני דרום,592,254,222,24,13,10,1,-,1,7,-,-
בן עמי,712,388,291,55,39,14,2,-,-,42,-,-
בית שקמה,747,453,324,114,44,26,44,-,1,11,3,-
בן זכאי,760,400,312,70,39,17,14,-,6,11,-,1
בית רבן,848,135,124,7,7,-,-,-,-,3,-,1
בן שמן (כפר נוער),1084,86,70,10,4,6,-,-,-,6,-,-
בית רימון,1162,172,156,14,8,6,-,-,-,2,-,-
